model:mps,parallelization:parallel_contraction,min_rank:4,max_rank:10,min_dimension:2,max_dimension:100,length:100,repetitions:10
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
4,6.2416,1.58785,4.83547,2.37534,9.26066,3.86747,2.69591,4.71463,2.36201,1.15571,1.59445,1.35204,4.4414,2.55385,3.43966,1.80096,1.58285,1.48523,1.55055,2.87539,9.49354,3.14739,1.52597,1.1735,2.22848,2.03959,2.44072,1.51174,4.12185,7.13144,3.29702,1.85515,1.98521,20.2274,1.79129,9.02034,2.09544,3.21647,14.5864,2.11964,1.37043,3.33753,4.88691,3.55933,3.01641,2.46014,4.63601,2.25318,2.34856,3.33244,6.75296,3.38731,4.49675,7.05662,3.39104,3.48847,2.21493,9.72555,6.34562,6.88483,27.0135,49.1599,4.30566,101.564,529.373,17.5943,56.7594,30.1317,65.1393,4.68017,32.7305,16.7451,26.0662,7.81718,6.84256,40.4748,6.78254,6.58649,6.62769,11.8298,9.20592,7.51975,5.09523,14.3024,8.12955,8.32603,8.95804,5.16382,8.27914,11.2049,9.84369,93.1438,234.567,290.669,13.7075,41.6354,9.15537,15.1709,6.93277,
5,1.99911,0.843139,1.20474,1.79966,2.07607,1.44132,1.55326,6.11846,1.70638,2.22764,1.61851,2.44818,2.26104,1.5628,1.60169,1.44021,2.06418,6.92717,1.51477,2.99834,4.46279,1.74482,2.50949,4.14219,2.99305,2.30478,8.93709,2.28309,5.43723,4.66457,6.61424,6.48629,243.427,122.212,52.851,38.6826,66.6045,44.6649,25.1371,65.8995,73.3846,15.7649,28.203,41.3926,74.6416,62.0582,22.025,45.024,31.6232,32.1802,203.338,242.201,84.9236,18.3737,43.836,37.7134,182.243,278.173,167.013,24.5902,33.229,13.0486,29.8652,57.1674,40.4573,19.8337,53.5063,19.4875,13.6027,73.742,41.698,360.711,418.375,146.083,22.2925,33.1227,23.1737,135.641,32.1423,17.7047,50.9378,20.326,65.4373,43.7512,69.3979,12.9867,80.9144,41.6951,114.664,229.844,81.3454,681.432,284.6,44.962,50.8547,665.651,46.6767,153.359,36.9482,
6,1.24883,0.845001,0.960416,2.82241,2.25552,1.64094,1.16958,2.35174,1.24667,2.23879,2.25203,2.95941,2.6881,1.74926,1.71149,4.9696,23.8562,19.1372,3.32883,3.00887,3.95278,2.94538,17.0895,77.2395,5.4303,24.6589,12.5322,11.4418,15.886,15.9775,84.0953,96.7941,79.3393,83.901,74.3969,70.3933,28.7553,15.0707,28.9117,20.2574,23.3393,32.0296,6.50471,11.5532,13.1966,17.3878,12.3424,9.27032,42.0331,25.8369,32.6158,8.26317,5.95021,4.49471,5.39162,88.0088,8.79457,9.51366,21.1192,35.2648,53.4804,104.577,210.988,35.453,42.3598,45.0972,17.6558,95.105,92.5151,33.9728,51.8253,48.0407,26.1819,48.4247,53.7125,33.2301,92.7071,41.365,45.0589,102.82,176.055,61.8416,140.681,105.416,36.0676,90.3327,94.3137,357.245,94.9227,20.2687,51.1736,91.9707,62.1487,149.629,60.5348,29.258,74.8172,105.58,104.041,
7,1.63485,1.40373,1.34841,1.16826,1.20146,1.39264,1.50785,1.30508,2.144,1.5426,2.77824,1.71359,2.22525,3.07648,4.73109,4.0376,5.48275,3.97229,6.5871,24.87,118.834,172.813,92.8376,127.654,110.673,124.086,103.635,14.794,33.4498,7.79373,87.1577,16.6426,20.9147,9.52982,4.78592,11.247,14.6973,9.58753,27.4408,10.476,32.6609,86.1424,38.4879,13.499,19.8929,9.41223,34.2059,29.4483,39.9515,168.442,98.763,67.1191,23.654,49.9963,103.889,49.0848,51.8724,62.6904,94.5776,40.0833,25.9518,261.653,3614.33,142.937,19.2326,57.8409,21.9963,102.271,13.5467,67.3443,91.6301,131.824,360.769,23.7199,63.213,958.959,233.817,111.667,66.9967,344.063,60.9545,63.8722,19.8809,90.572,114.531,311.253,231.022,106.017,95.8828,88.7188,53.4698,115.654,127.02,58.3551,126.621,103.198,194.34,236.866,135.226,
8,2.0482,1.78737,1.05921,1.09404,3.23392,1.65788,1.33493,2.33643,1.97707,3.19783,3.94331,1.70964,1.95883,2.77881,3.57204,6.70404,7.72386,24.8929,31.0932,35.3897,57.7666,58.2866,45.32,25.5508,44.6266,28.1455,42.4951,20.1861,6.68558,54.1869,29.7023,6.69567,66.6525,5.87812,11.7814,177.32,7.8171,59.1896,15.2443,58.4165,25.4728,12.7865,22.705,66.7556,9.41891,50.5618,17.0863,16.9102,12.229,83.3314,46.675,15.9017,59.9723,95.1773,15.2614,379.754,51.6887,111.76,199.294,129.099,40.1808,80.6884,49.6565,141.031,390.254,85.7168,90.0303,107.14,261.784,97.3622,66.1008,226.067,165.026,77.9039,162.257,62.1573,146.275,69.4054,107.041,198.586,164.726,97.3393,93.1864,150.122,125.618,304.317,112.974,120.874,156.711,338.365,190.957,288.261,79.7771,390.95,461.975,374.156,122.562,293.297,212.613,
9,1.82516,2.48425,3.44905,2.01361,2.71254,7.20744,1.99131,1.51388,2.77096,2.49756,2.43567,2.63341,2.36465,3.79119,8.0532,7.39142,51.9742,106.785,104.56,85.381,170.207,165.052,125.73,19.0755,10.026,11.0135,3.90683,7.83637,24.8828,14.7097,6.33701,45.3227,8.22838,7.58905,14.0914,4.39123,34.2838,33.3094,6.83487,10.0483,11.8439,91.5066,64.5121,25.661,9.21026,39.9247,108.615,32.259,38.286,65.3581,42.7794,72.5415,118.981,9.50655,58.4937,16.1551,43.3054,19.1816,99.3513,20.5703,147.76,43.7246,123.205,143.338,35.6628,281.533,27.8469,91.0525,87.6586,117.083,182.027,101.672,131.447,59.1988,91.0341,84.0896,412.294,2609.21,172.971,287.717,418.953,146.616,108.969,267.113,103.265,158.527,115.898,1087.21,161.582,176.348,150.814,198.934,241.053,129.202,112.844,338.365,136.023,1277.24,315.104,
10,1.39372,2.79523,1.19958,2.84533,1.61752,2.6639,2.43099,2.18583,2.35373,3.95626,4.38867,3.85916,5.8325,11.4569,72.6645,68.8703,22.7297,32.0324,14.4635,10.4441,21.517,6.37907,5.21963,9.92266,6.8392,6.97555,105.344,133.483,21.1561,12.6367,6.65251,10.1829,12.5812,50.581,36.9777,83.4371,1151.39,57.5266,164.867,12.4772,51.7883,12.7408,49.1136,86.938,53.7226,11.5273,58.6811,72.0874,82.4552,97.6933,56.894,33.9768,61.3432,81.4995,34.129,767.831,51.297,137.281,117.07,52.9334,317.285,40.7694,108.74,102.218,36.896,327.808,154.326,156.073,347.807,72.057,252.982,85.5118,168.936,153.625,100.712,76.5388,79.0808,154.131,173.659,413.354,97.4304,768.855,135.991,164.317,583.02,119.496,271.532,388.444,153.482,103.861,105.08,220.789,260.493,114.193,399.976,134.244,146.934,220.15,277.845,

