model:mps,parallelization:parallel_evidence_4_threads,min_rank:4,max_rank:10,min_dimension:2,max_dimension:100,length:400,repetitions:10
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
4,5.1982,4.21847,5.30774,6.77083,8.29504,9.94981,12.0141,13.8268,15.5628,17.7039,20.1111,22.7442,24.9189,27.7339,30.1091,32.8597,35.6082,38.5078,41.4939,44.7208,48.245,51.4475,55.0043,58.7797,62.479,66.4395,70.4444,76.2456,78.4062,82.5787,86.9009,91.3931,96.0476,100.648,105.77,110.401,115.523,120.504,126.449,131.132,136.704,142.216,147.948,153.932,159.603,165.737,172.315,178.277,184.417,191.319,197.156,204.713,211.221,218.777,224.707,232.052,238.987,246.715,254.305,261.969,269.278,277.702,285.141,294.283,302.878,309.698,318.945,326.506,335.754,343.754,352.822,361.549,371.603,380.02,388.51,398.388,410.202,418.799,427.494,437.323,447.165,458.069,467.916,477.553,488.773,498.235,508.533,520.037,530.371,542.052,553.415,565.497,577.119,587.974,599.84,611.455,624.194,635.68,646.698,
5,4.25893,6.28585,8.67643,11.4184,14.7424,18.3987,22.7839,27.8381,33.5201,40.0013,47.4908,55.8084,65.1165,75.4477,87.0205,99.7358,113.728,128.846,145.59,163.87,183.579,204.913,228.724,254.159,280.251,307.83,338.533,370.954,406.272,443.512,481.151,522.857,566.466,612.368,660.817,712.499,765.629,822.311,882.016,943.579,1008.43,1076.94,1147.67,1221.56,1298.45,1379.4,1462.83,1551.43,1641.95,1736.21,1833.99,1935.88,2041.08,2150.46,2263.4,2380.92,2502.02,2625.8,2754.89,2888.88,3026.26,3164.08,3314.51,3465.91,3621.37,3783.61,3947.06,4118.02,4289.74,4469.53,4653.3,4843.74,5041.43,5237.49,5441.13,5653.17,5871.04,6089.37,6309.15,6546.94,6783.93,7026.02,7276.24,7532.49,7796.78,8063.03,8337.23,8614.61,8902.76,9193.12,9485.91,9791.44,10102.8,10423.8,10752.6,11077.3,11412.4,11767,12117,
6,5.5415,8.54613,11.9376,16.1134,21.0043,26.7449,33.5909,41.6587,51.0714,62.1557,74.6105,88.9069,105.042,123.196,143.581,166.246,191.273,219.223,248.78,281.96,318.805,357.723,400.484,446.572,495.644,548.616,605.268,666.131,731.647,800.889,874.372,952.738,1035.49,1122.26,1214.55,1312.19,1414.44,1523,1635.78,1753.91,1878.15,2009.93,2144.97,2287.73,2436.27,2591.08,2752.03,2922.38,3095.69,3278.89,3468.43,3664.68,3867.76,4077.84,4297.61,4523.6,4759.86,5001.16,5251.58,5512.37,5778.63,6052.67,6341.57,6924.85,7217.69,7623.77,7897.81,8149.9,8502.2,8929.34,9336.94,9711.47,10068,10407.3,10767.7,11082.9,11725.3,12017.1,12547.1,12937.2,13651.2,13843.5,14490.2,15215.4,15572.8,16231.7,16599.9,17543.3,17698.6,18684,19291.6,19920.4,20458.2,21160.5,22152.1,22454.8,23163.6,24191.2,25059.2,
7,6.98488,10.6892,15.1978,20.7614,27.2355,35.0195,44.3777,55.6413,68.7702,84.1294,101.792,122.633,145.011,171.044,200.347,232.908,268.897,310.271,353.14,400.78,453.944,511.18,572.96,640.43,712.424,790.166,873.245,962.826,1058.64,1160.73,1269.01,1384.86,1506.36,1634.13,1771.17,1913.71,2065.49,2224.02,2392.72,2567.52,2751,2946.73,3147.29,3358.31,3576.84,3808.69,4047.16,4298.63,4557.15,4827.69,5107.3,5399.83,5702.52,6014.79,6340.92,6676.2,7025.78,7383.55,7757.29,8147.38,8543.23,8950.15,9372.69,10553.8,11259.8,11468,12287,12472.8,13221.9,13881.8,14490.6,15262.8,15674.8,16426.1,17138.1,16982,18328.6,18731.3,19728.5,19959,21121.5,21734.4,22942.2,23625,24662.3,25219.6,26600.5,27022.6,28380.8,29777.4,30123,31544,33014.8,34069.8,35549.9,36777.5,37765.5,39374.9,40032.4,
8,8.34834,12.9332,18.4094,25.2491,33.3723,43.904,55.2024,69.5614,86.4067,106.142,129.555,155.242,185.001,218.685,256.731,299.194,346.575,398.56,456.193,519.329,588.773,664.108,746.135,834.386,929.796,1031.45,1141.54,1259.19,1385.3,1519.72,1662.56,1816.63,1975.09,2144.97,2325.67,2517.08,2715.47,2926.7,3147.03,3378.85,3622.36,3877.97,4146.11,4425.12,4716.28,5019.66,5336.24,5668.29,6011.23,6371.31,6741.49,7130.01,7530.66,7947.3,8377.34,8828.85,9286.15,9768.02,10261.5,10776,11309.7,11844.2,12411.6,14218.8,14951.9,15840,16433.5,17588.2,17544.3,18229.9,19674.5,20702.1,21611.8,22326.3,23151.7,24249.5,25117.2,26570.7,27202.9,28434.5,29849,30834,31922.7,32647,34812.7,35912.8,37689.1,39340.5,40223.7,42881,44078.6,46719.3,48602.6,50430.5,52672,54069.2,59768.3,60290.5,63344.7,
9,9.7346,15.0532,21.7453,29.8536,39.6166,51.6366,66.0702,83.5625,104.037,128.888,156.102,188.298,224.977,266.611,314.108,365.949,424.513,488.443,559.64,638.275,723.585,816.875,918.206,1028.26,1146.17,1273.47,1408.88,1556.42,1712.63,1879.19,2056.55,2246.06,2444.99,2655.24,2879.31,3117.42,3364.03,3626.63,3902.75,4189.41,4493.58,4811.65,5144.25,5489.99,5854.55,6232.88,6625.63,7044.08,7469.73,7917.65,8383.24,8861.09,9368.4,9882.54,10425.3,10979.2,11567.2,12190.2,12799.4,13424.3,14082.1,14793.6,15446.4,17628.5,18796,19571.8,20954.7,22238,23174.2,24338.8,25591.1,26377.9,27896.9,29578.8,30171.7,31046.1,33547.5,34630.4,36699.4,37515.1,39698.8,41637,43346.2,45762,46636.3,50371.6,51984.1,56397.2,59443.3,61564.6,66251.3,67470.5,71039.3,73437,75772.6,81001,86430.8,88832.9,94261.7,
10,11.0434,17.1408,24.8721,34.2236,45.8292,59.8984,76.8026,97.4555,121.64,151.002,183.36,221.729,264.976,314.33,370.616,432.987,502.329,578.658,663.259,756.671,858.339,970.315,1091.25,1222.59,1362.29,1514.65,1677.15,1852.77,2039.73,2240.02,2451.37,2678.84,2915.61,3166.73,3437.31,3717.66,4014.12,4327.38,4659.06,5002.32,5366.94,5747.29,6142.32,6561.76,6992.6,7448.88,7918.67,8419.54,8930.82,9472.21,10019.9,10615.5,11210.7,11831.4,12512.7,13188,13879.1,14669.1,15386.2,16071.8,16874.5,17667.8,18490.1,21781.5,23030,24474.7,25622.6,26678.6,28147.4,29006,30963.6,34064.7,35192.3,37098.5,39478.3,41751.5,44698.3,45202.7,48596,51295.6,53966.4,55647.6,60270.7,61990.3,66100.7,68180.1,73946.5,76955.3,79926,84479.8,87097.5,91624.5,95571,98026.2,101122,104943,108876,112826,116363,

