model:mps,parallelization:both_parallel,min_rank:4,max_rank:10,min_dimension:2,max_dimension:100,length:400,repetitions:10
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
4,33.267,43.8159,54.8794,69.9109,79.6018,99.2626,103.377,111.014,124.099,134.012,162.4,168.386,181.807,193.588,212.372,216.871,232.612,246.642,250.946,255.87,286.697,282.222,302.857,314.211,319.657,342.026,347.61,358.478,372.553,386.935,391.673,398.388,417.109,458.229,454.508,464.201,498.476,501.13,514.95,518.091,557.722,559.117,567.524,594.128,588.304,613.013,622.083,651.59,656.507,682.406,681.58,691.362,710.503,735.548,743.218,775.993,776.415,782.705,819.849,830.843,843.142,857.794,876.955,886.064,926.543,924.672,932.246,951.272,983.495,997.79,1015.4,1042.29,1048.21,1062.57,1083.99,1093.36,1129.33,1141.81,1155.35,1171.65,1201.32,1202.7,1228.6,1255.58,1255.66,1299.45,1310.54,1326.49,1339.81,1364.2,1372.12,1396.7,1433.73,1442.72,1460.56,1488.34,1485.8,1522.89,1531.9,
5,31.8396,44.7866,59.4016,70.5608,86.7906,97.8062,110.162,123.124,136.123,154.97,173.419,187.922,199.2,222.418,234.191,256.91,276.051,292.627,321.927,343.706,370.985,405.257,431.176,464.408,501.088,527.766,566.463,602.797,645.436,682.881,746.287,794.623,838.279,877.716,946.644,997.035,1046.65,1104.25,1154.6,1236.79,1284.42,1364.47,1410.14,1458.16,1518.68,1581.48,1636.4,1709.6,1767.72,1840.8,1910.08,2005.45,2064.55,2157.45,2249.51,2331.1,2420.59,2507.17,2610.38,2716.55,2815.93,2929.67,3034.5,3249.71,3362.82,3496.1,3628.41,3766.04,3903.68,4041.69,4189.7,4344.48,4500.01,4657.57,4824.38,4982.85,5156.33,5334.18,5513.44,5696.5,5887.97,6064.1,6260.81,6458.2,6643.7,6847.85,7039.44,7249.08,7456.84,7674.66,7904.9,8152.34,8389.03,8638.34,8904.38,9165.23,9431.33,9710.11,9972.31,
6,31.9693,47.4975,55.5167,72.6709,91.0262,106.704,114.008,130.028,150.447,166.187,185.73,204.905,232.487,253.891,281.215,312.822,342.731,376.187,414.685,455.996,498.444,545.876,594.713,647.639,706.645,763.059,825.576,877.304,935.629,991.558,1024.56,1090.96,1156.01,1220.4,1287.78,1360.73,1441.81,1526.63,1618.74,1704.63,1811.67,1910.26,2013.45,2136.48,2243.49,2354.94,2482.25,2613.5,2742.03,2878.7,3027.67,3167.09,3326.37,3474.98,3635.85,3801.25,3957.62,4163.96,4376.44,4588.83,4791.27,5027.14,5292.01,5919.42,6221.04,6541.59,6863.06,7190.23,7531.07,7865.54,8215.77,8598.24,8947.39,9329.15,9706.76,10113.1,10502.6,10894.2,11362.2,11768,12234.4,12652.7,13124.4,13625.1,14093.5,14578.3,15036.1,14873.7,15273.9,15846.5,16392.5,17051,17587.9,18224.9,18853,19482.5,20073.2,20835.4,21367.9,
7,32.0815,46.179,60.3132,76.3989,90.8193,104.213,121.299,141.669,164.252,184.858,207.737,236.188,265.519,334.963,374.281,417.174,464.071,513.761,572.75,629.412,686.286,745.125,804.858,875.003,934.59,1026.64,1090.41,1144.64,1228.65,1285.97,1340.26,1450.37,1538.14,1641.18,1742.11,1850.7,1961.09,2075.89,2212.01,2343.41,2492.84,2624.11,2780.54,2942.31,3117.24,3283.45,3447.27,3656.38,3869.97,4093.58,4316.63,4554.03,4788.3,5035.9,5279.41,5560.12,5820.16,6101.82,6402.42,6680.03,6982.11,7287.79,7747.65,9561.41,9327.38,10154.8,10194.4,10144.3,10416.2,11194.1,12319.7,12109.9,12277,13329,14195.4,14108.2,14268.4,14983.9,15503.9,15628,16540.5,17717.1,18571.5,18691.7,19613,20162.3,21185.5,22050.3,23615.2,24868.1,24681,26143.5,27773,29003.9,30335.1,30346.4,32108.3,32700.6,33715.1,
8,31.9257,46.5932,59.4593,75.937,91.8478,109.4,126.705,150.218,174.416,201.552,230.094,264.301,301.409,377.805,426.347,479.534,537.133,596.311,648.898,691.018,729.706,790.733,846.3,922.201,996.584,1086.6,1169.67,1265.87,1365.15,1463.29,1566.57,1702.91,1828.84,1963.8,2096.3,2239.35,2394.72,2558.62,2717.7,2883.17,3070.01,3293.41,3500.51,3731.68,3964.6,4204.51,4446.19,4707.59,4972.44,5239.01,5525.12,5828.13,6135.89,6459.76,6789.68,7156.99,7506.26,7877.45,8263.83,8674.7,9060.55,9457.58,10042,11445.2,11172.6,12207.4,13911.2,13558.5,13970.2,14102.9,15080,16176.1,17338.9,17696.4,17545.8,18792.1,19658.1,20980.8,21175.6,22549.5,23085.6,25047.1,26370.3,26071.4,27459.1,29147.2,30420.6,31518.5,32972,35351.3,35855,36343.8,38927.9,40440.7,41949.7,43714.4,44764.8,46044.8,48124.7,
9,33.8009,46.3937,63.0809,79.6635,98.1964,118.11,137.138,162.657,191.882,222.544,257.008,297.45,340.938,429.028,489.84,551.231,601.801,668.293,728.962,793.962,874.691,938.806,997.149,1090.43,1179.92,1281.64,1373.58,1492.86,1606.34,1737.7,1847.87,2004.47,2167.12,2328.11,2489.97,2660.47,2848.37,3065.19,3292.44,3533.13,3773.11,4021.56,4281.4,4548.82,4817.05,5104.75,5399.13,5732.46,6066.3,6412.89,6765.8,7144.05,7533.41,7937.63,8359.88,8800.85,9260.85,9726.23,10213.5,10729.1,11198.3,11670.5,12410.5,13539.2,13975.7,14407.5,15566.6,15968.9,17103.5,18905.8,19133.5,19596.9,20340.4,21706.2,23320.9,23804.1,24898.3,26076.1,27650.2,29174,30945.7,31945.9,33539.8,35022.6,36710,39018,39986.2,41760.1,42297,44917.5,46736.2,48732.5,49555.5,51690.3,53728.5,56459.3,57738.4,59935.7,61282.1,
10,33.6526,48.3012,63.7863,79.6691,99.8425,121.338,146.227,174.233,206.183,241.703,281.694,328.275,377.468,475.293,527.341,571.382,617.875,678.931,742.957,818.219,901.305,988.347,1082.46,1185.95,1303.68,1422.8,1549.55,1685.13,1822.54,1962.47,2109.82,2289.84,2463.48,2676.98,2901.03,3128.61,3368.41,3613.99,3867.34,4133.12,4404.41,4698.27,5003.95,5319.9,5657.73,6009.74,6366.37,6761.56,7161.73,7589.7,8014.22,8470.32,8939.69,9441.71,9926.91,10489.9,11038.9,11615.8,12200.7,12810.4,13346.9,13885.8,14736.2,15824.8,17015.5,17491,18834.5,19901,20936.1,22380.3,23520.4,24935.8,26277.2,27157.1,28909.1,30079.8,32095.6,33669.6,35189.7,36993.2,38463.2,40405.6,42189.9,43617.4,45810,47896.4,49817.6,52594.1,53266.7,55943.8,57401.3,60285.1,62568.2,63832.8,66866.8,69325.6,71466,73508.2,76035,

