model:mps,parallelization:both_parallel,min_rank:4,max_rank:10,min_dimension:2,max_dimension:100,length:400,repetitions:10
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
4,0.289454,0.00330889,0.00685507,0.00496176,0.00489978,0.0043005,0.00554789,0.00734344,0.00634937,0.00828473,0.0084385,0.00757077,0.0526161,0.143667,0.0302913,0.006487,0.00872565,0.00265916,0.0392921,0.0157047,0.00503247,0.00166548,0.00323541,0.00319132,0.00317527,0.0028581,0.00391353,0.00293303,0.00222853,0.00211373,0.00316062,0.00164568,0.0030331,0.00225876,0.00217351,0.00254102,0.00423161,0.00213695,0.00280698,0.00185913,0.00183156,0.00269098,0.00438186,0.00252764,0.00306595,0.00267315,0.0038784,0.00384581,0.00350585,0.0023061,0.00267014,0.00237936,0.00563417,0.00230223,0.0039789,0.00176227,0.00181685,0.00319912,0.00395663,0.0027268,0.00172827,0.00368746,0.00273393,0.00358262,0.00224866,0.00306411,0.00301734,0.00245046,0.00417853,0.0016719,0.00209762,0.00209474,0.00272053,0.0030511,0.00276344,0.00335911,0.00182404,0.00357317,0.00216437,0.0024431,0.00250916,0.00312206,0.00216915,0.00346356,0.00262371,0.00315738,0.00325211,0.0027115,0.0031802,0.00269265,0.0031124,0.00243362,0.00233983,0.00223317,0.00203896,0.00290609,0.00277882,0.00219473,0.00149111,
5,0.0879601,0.00597229,0.00546355,0.00374377,0.0037435,0.00432585,0.00609483,0.00361088,0.00470937,0.00349702,0.00199613,0.00311173,0.00258387,0.00292674,0.00197816,0.00124736,0.00110457,0.00103159,0.000898669,0.000733371,0.000964116,0.00144416,0.00190225,0.00180262,0.000940024,0.0009278,0.000823765,0.0012255,0.000776999,0.000915142,0.00104017,0.00110088,0.000487126,0.000844832,0.000688033,0.000631148,0.00103708,0.000560173,0.00067072,0.000604896,0.000512865,0.000378859,0.000495579,0.000706311,0.000435517,0.000487722,0.000771927,0.00078633,0.000433039,0.000371336,0.000316249,0.000492386,0.00063875,0.000596529,0.000345929,0.000448796,0.000338298,0.000476641,0.000338091,0.000379496,0.000370668,0.000307009,0.000220978,0.000537127,0.000269468,0.000664996,0.000357578,0.00046772,0.000275408,0.00046528,0.000521357,0.000359411,0.00374652,0.000426131,0.000478974,0.000294809,0.0004765,0.000416103,0.000537777,0.000533079,0.00057705,0.000392734,0.000530802,0.000509114,0.000358484,0.000466142,0.00110673,0.000689384,0.000433833,0.000415978,0.00142305,0.00110404,0.00200837,0.000942669,0.000812442,0.00164229,0.000735527,0.000370901,0.000724157,
6,0.0926887,0.0101096,0.00752845,0.00793512,0.00646283,0.00586766,0.00647363,0.00750001,0.00454554,0.00840924,0.00916781,0.00622319,0.00680012,0.00454203,0.00603445,0.00475478,0.00303012,0.00294222,0.00383531,0.00283935,0.00147805,0.00292613,0.00105856,0.00140781,0.00165206,0.00123665,0.00386458,0.00255346,0.0038603,0.00487609,0.00596194,0.00323129,0.00273516,0.00126827,0.00144321,0.00254281,0.00266507,0.00223799,0.0033071,0.0172044,0.000974098,0.000877442,0.00103074,0.00144893,0.000824223,0.00279682,0.00486377,0.0045469,0.000878598,0.00129569,0.00104051,0.00140299,0.000869072,0.00232881,0.00124411,0.00139645,0.000942452,0.000852538,0.000955791,0.00114742,0.000484999,0.000962895,0.00113746,0.00212726,0.00165064,0.00137547,0.00217975,0.00121261,0.00149983,0.00226805,0.00116592,0.001068,0.00148027,0.00110307,0.0088174,0.00139498,0.000785864,0.00124631,0.0019092,0.00137482,0.00108105,0.00164973,0.00129961,0.00182852,0.00101705,0.00161122,0.00118963,0.00081442,0.00109343,0.000897841,0.000673721,0.00117993,0.00103617,0.00117938,0.00179739,0.00111244,0.00115885,0.00147758,0.00165828,
7,0.0747075,0.00509554,0.00339684,0.00497701,0.00456966,0.00531048,0.00374182,0.0039919,0.00442264,0.0024366,0.00291012,0.00233996,0.00333501,0.00140846,0.00145015,0.00115797,0.00182463,0.00139907,0.000900679,0.00051145,0.00116337,0.000648558,0.00138124,0.000922854,0.00122734,0.000997555,0.000775703,0.000878604,0.000567455,0.00059974,0.000413782,0.000640248,0.000814718,0.000616562,0.000679547,0.000629665,0.000604205,0.000865152,0.00126746,0.000511485,0.00112636,0.00378749,0.00477191,0.00110702,0.000502489,0.000744072,0.000501687,0.000334185,0.000484776,0.000387976,0.000405289,0.000453962,0.000524769,0.000518321,0.000285367,0.000301626,0.000471563,0.000320752,0.000243269,0.00040167,0.000198707,0.00029422,0.000444848,0.00113056,0.000421964,0.00184528,0.000940398,0.000606537,0.00174162,0.00107302,0.000693221,0.00109215,0.000899611,0.00270396,0.00431975,0.00136237,0.00185983,0.00160139,0.00102572,0.00126554,0.00143437,0.00135424,0.00195326,0.00180833,0.00256349,0.00124644,0.000755081,0.00211366,0.00187294,0.00352533,0.00217077,0.00215427,0.00172091,0.00137405,0.00221192,0.001587,0.00151588,0.00211546,0.00213438,
8,0.0762338,0.00796526,0.00560743,0.00762225,0.0118898,0.01167,0.00535846,0.00829497,0.00707219,0.00557344,0.00531627,0.00303546,0.00655444,0.00243701,0.00195971,0.00526615,0.00181248,0.00355072,0.00387146,0.00118925,0.00234369,0.00127443,0.00140608,0.00529578,0.000824805,0.00224698,0.000844819,0.000940075,0.000904611,0.000570456,0.000832001,0.000647791,0.00148343,0.000908465,0.00150066,0.000412309,0.000697407,0.00195995,0.000847358,0.000867657,0.00104589,0.000640035,0.000722343,0.000779136,0.00115494,0.0068997,0.000761604,0.000636531,0.000792834,0.000590874,0.000830484,0.000919716,0.000464346,0.000762988,0.000681153,0.000816557,0.000804408,0.000826312,0.000650241,0.000925211,0.000473851,0.000706505,0.000457495,0.00332094,0.00257214,0.00333282,0.00468759,0.00516397,0.00323609,0.00505409,0.00561832,0.00372858,0.00475576,0.00809181,0.00365747,0.00388664,0.00480082,0.00416998,0.00544899,0.00336326,0.00445891,0.00311499,0.00334384,0.00452602,0.00432433,0.00520194,0.00693026,0.00361161,0.00386087,0.00344827,0.004363,0.00267598,0.00451612,0.00449418,0.00173,0.00227684,0.0038346,0.00237681,0.00207097,
9,0.0737642,0.00811134,0.00609045,0.00738365,0.00618082,0.00515099,0.00545055,0.00478099,0.00267156,0.00286751,0.00385431,0.00419014,0.00351446,0.00126071,0.00087878,0.00108658,0.00149427,0.00118681,0.00182278,0.000830453,0.000970262,0.00245587,0.000644329,0.00075989,0.00122445,0.000629755,0.000413177,0.000443457,0.000551257,0.00110915,0.00135487,0.00124991,0.00114353,0.00142674,0.00115566,0.000578888,0.00054809,0.00262368,0.000330433,0.000465326,0.000428354,0.00042297,0.000285782,0.00070855,0.000702529,0.000857016,0.000222355,0.00025525,0.00043865,0.000646581,0.000337511,0.000469125,0.00773184,0.000509053,0.00065826,0.00027503,0.000482956,0.00106247,0.000753704,0.00183839,0.000539789,0.000416666,0.000247465,0.00174269,0.00256053,0.00361517,0.00366863,0.00472575,0.00434569,0.00483222,0.00420206,0.00524959,0.0054001,0.00981549,0.0117046,0.00577008,0.00690868,0.00811493,0.0119174,0.00925578,0.0287745,0.00760078,0.00948554,0.0224254,0.0163338,0.0101332,0.00779867,0.00389098,0.00261699,0.00751464,0.00317574,0.00330158,0.00381255,0.00834144,0.00559745,0.00342504,0.00442698,0.00327893,0.00823574,
10,0.0795989,0.0104911,0.00624862,0.0104159,0.00622222,0.00751492,0.005124,0.0081758,0.00566132,0.00724016,0.00412041,0.00535861,0.00478405,0.00310804,0.0052102,0.00360046,0.00716684,0.000902833,0.00113983,0.00169842,0.0011073,0.00104915,0.00149006,0.00116915,0.000696243,0.0019492,0.00174627,0.00126558,0.000779412,0.000651597,0.000461175,0.00074264,0.000921107,0.000511156,0.000849659,0.00156885,0.000852619,0.0019496,0.00062833,0.000680357,0.000722079,0.000706401,0.000500102,0.00074432,0.000748358,0.00192295,0.000340178,0.000487403,0.000850837,0.000664256,0.00103999,0.000804081,0.000974241,0.00160178,0.000855173,0.0007591,0.000557651,0.000413854,0.000547574,0.000667972,0.000368507,0.000214732,0.000358593,0.02977,0.0183713,0.0138479,0.0104898,0.00903453,0.0109433,0.00900103,0.0114858,0.0074991,0.0076118,0.0311971,0.00938122,0.00561468,0.0064503,0.0313972,0.00812852,0.00696462,0.00903459,0.00427363,0.00698716,0.00996139,0.0100916,0.00919246,0.014689,0.00609325,0.0105503,0.0108919,0.00898584,0.00743463,0.00376067,0.0104664,0.00561345,0.00363647,0.00448581,0.00616837,0.00550827,

